model_name,max_roc,acc,recall
FB,1,0.587046294,0.64912712
IForest,0.9911,0.43142795,0.530171363
Average KNN,1,0.572918931,0.639206045
LOF,1,0.667028907,0.696220842
OCSVM,1,0.610736796,0.665106682
PCA,1,0.618126494,0.670336229
